name;id;category;url
Bussigny-sur-Oron;dhs-002550;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002550/2017-01-05/
Bussy-Chardonney;dhs-002431;commune;https://hls-dhs-dss.ch/fr/articles/002431/2003-03-14/
Bussy-sur-Moudon;dhs-002463;commune;https://hls-dhs-dss.ch/fr/articles/002463/2004-11-03/
Carrouge (VD);dhs-002551;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002551/2017-01-04/
Cerniaz (VD);dhs-002573;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002573/2017-01-05/
Chabrey;dhs-002310;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002310/2019-04-03/
Chamblon;dhs-002625;commune;https://hls-dhs-dss.ch/fr/articles/002625/2003-11-10/
Champagne (VD);dhs-002385;commune;https://hls-dhs-dss.ch/fr/articles/002385/2005-05-24/
Champmartin;dhs-002311;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002311/2017-02-06/
Champtauroz;dhs-002574;commune;https://hls-dhs-dss.ch/fr/articles/002574/2005-04-27/
Champvent (commune);dhs-002626;commune;https://hls-dhs-dss.ch/fr/articles/002626/2017-01-04/
Chanéaz;dhs-002627;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002627/2017-01-11/
Chapelle-sur-Moudon;dhs-002464;ancienne commune;https://hls-dhs-dss.ch/fr/articles/002464/2017-01-04/
Chardonne;dhs-002613;commune;https://hls-dhs-dss.ch/fr/articles/002613/2014-07-22/
Chardonney-sur-Morges;dhs-003325;ancienne commune;https://hls-dhs-dss.ch/fr/articles/003325/1998-07-13/
Chaux, La (Cossonay);dhs-002324;commune;https://hls-dhs-dss.ch/fr/articles/002324/2005-05-03/
Chavannes-de-Bogis;dhs-002499;commune;https://hls-dhs-dss.ch/fr/articles/002499/2004-01-16/
Chavannes-des-Bois;dhs-002500;commune;https://hls-dhs-dss.ch/fr/articles/002500/2003-12-29/
Chavannes-le-Chêne;dhs-002628;commune;https://hls-dhs-dss.ch/fr/articles/002628/2017-05-01/
Chavannes-le-Veyron;dhs-002325;commune;https://hls-dhs-dss.ch/fr/articles/002325/2003-12-29/
Chavannes-près-Renens;dhs-002432;commune;https://hls-dhs-dss.ch/fr/articles/002432/2005-07-14/
Chavannes-sur-Moudon;dhs-002465;commune;https://hls-dhs-dss.ch/fr/articles/002465/2003-12-29/
Chavornay;dhs-002533;commune;https://hls-dhs-dss.ch/fr/articles/002533/2017-01-11/
Chenit, Le;dhs-002610;commune;https://hls-dhs-dss.ch/fr/articles/002610/2010-03-03/
